UF,CIDADE,IBGE,POPULAÇÃO,VALOR_TOTAL_PREVISTO,STATUS,PONTOS_ATENDIDOS,VALOR_INVESTIDO
MG,Francisco Badaró,3126505,10550,507294.62,Sem Previsao,11,0
MG,Grão Mogol,3127800,15805,543768.8,Sem Previsao,25,0
MG,Inhapim,3130903,24835,638250.82,Sem Previsao,25,0
MG,Itamarandiba,3132503,34253,789334.91,Sem Previsao,24,0
MG,Itambacuri,3132701,23585,684848.87,Sem Previsao,17,0
MG,Itinga,3134004,15059,600277.22,Sem Previsao,26,0
MG,Japonvar,3135357,8643,507879.32,Sem Previsao,20,0
MG,Jequeri,3135506,12946,452115.69,Sem Previsao,21,0
MG,Manga,3139300,19622,884532.58,Sem Previsao,32,0
MG,Monte Azul,3142908,21990,866711.44,Sem Previsao,33,0
MG,Nepomuceno,3144607,26897,650576,Em andamento,27,0
MG,Pimenta,3150505,8655,290426.96,Concluida,9,288464.55
MG,Piranga,3150802,17864,518720,Sem Previsao,20,0
MG,Porteirinha,3152204,38720,821017.18,Sem Previsao,23,0
MG,Rio Acima,3154804,9924,285842.8,Concluida,7,240879.9
MG,Rubelita,3156502,7093,449756.78,Sem Previsao,12,0
MG,Salinas,3157005,41301,1072570.7,Sem Previsao,29,0
MG,Santana do Manhuaçu,3158904,8844,417308.13,Sem Previsao,12,0
MG,Santo Antônio do Retiro,3160454,7290,354122.34,Sem Previsao,9,0
MG,Simonésia,3167608,19421,415175.48,Sem Previsao,10,0
MG,Varzelândia,3170909,19702,586097.6,Sem Previsao,20,0
MG,Verdelândia,3171030,9056,538911.86,Sem Previsao,11,0
MS,Aquidauana,5001102,47162,1796471.81,Sem Previsao,33,0
MS,Sidrolândia,5007901,51355,1050595.61,Sem Previsao,38,0
MS,Terenos,5008008,19914,680997.61,Sem Previsao,23,0
MT,Campinápolis,5102603,15112,700685.43,Sem Previsao,20,61939.24
MT,Colniza,5103254,33575,1120514.49,Sem Previsao,30,92707.5
MT,Nossa Senhora do Livramento,5106109,11393,586821.47,Sem Previsao,18,0
MT,Rosário Oeste,5107701,17161,1084905.79,Sem Previsao,29,0
PA,Água Azul do Norte,1500347,26305,918552.72,Sem Previsao,27,0
PA,Almeirim,1500503,33372,741201.86,Sem Previsao,30,0
PA,Augusto Corrêa,1500909,43700,911062.16,Sem Previsao,35,0
PA,Baião,1501204,43757,761373.62,Sem Previsao,23,0
PA,Chaves,1502509,22566,920152.72,Sem Previsao,27,0
PA,Conceição do Araguaia,1502707,46395,901124.75,Concluida,27,722265.7
PA,Curralinho,1502806,32248,514114.46,Sem Previsao,23,0
PA,Curuçá,1502905,37800,424830.85,Concluida,11,130558.1
PA,Goianésia do Pará,1503093,37975,557090.75,Concluida,14,413613.5
PA,Itaituba,1503606,98446,926456.65,Concluida,30,770171.6
PA,Mãe do Rio,1504059,28959,752184.78,Sem Previsao,20,83562
PA,Marituba,1504422,122916,746189.75,Concluida,19,289252
PA,Muaná,1504901,37977,791851.9,Sem Previsao,23,0
PA,Novo Progresso,1505031,25135,1435144.47,Sem Previsao,38,0
PA,Óbidos,1505106,50459,1065228.26,Sem Previsao,38,0
PA,Pacajá,1505486,44778,918477.2,Sem Previsao,29,0
PA,Palestina do Pará,1505494,7424,721189.04,Sem Previsao,23,0
PA,Paragominas,1505502,107010,1023839.75,Concluida,34,836808.1
PA,São Domingos do Araguaia,1507151,24451,944073.64,Sem Previsao,33,0
PA,São Sebastião da Boa Vista,1507706,25161,1019380.74,Sem Previsao,28,0
PA,Soure,1507904,24286,1436297.7,Sem Previsao,38,0
PA,Trairão,1508050,18084,522826.11,Concluida,15,242272
PA,Tucuruí,1508100,107189,559184.35,Concluida,13,218948
PA,Uruará,1508159,44486,783863.93,Concluida,26,647554.6
PB,Algodão de Jandaíra,2500577,2475,289596.37,Sem Previsao,15,0
PB,Cabaceiras,2503100,5449,355867.86,Em andamento,15,0
PB,Cachoeira dos Índios,2503308,10114,428579.5,Concluida,14,377463.7
PB,Esperança,2506004,32785,643482.51,Em andamento,23,0
PB,Itaporanga,2507002,24499,649011.44,Em andamento,23,0
PB,Lagoa Seca,2508307,27247,600900.72,Concluida,23,509997.1
PB,Mari,2509107,21755,820023,Sem Previsao,42,0
PB,Nova Floresta,2510105,10650,266802.12,Concluida,6,206113.4
PB,Pocinhos,2512002,18272,419387.54,Concluida,14,364650.7
PB,Queimadas,2512507,43667,539153.44,Concluida,19,490024.6
PB,Riachão do Poço,2512762,4442,271785.75,Sem Previsao,10,0
PB,São João do Rio do Peixe,2500700,17929,550508.58,Concluida,19,526144
PB,Seridó,2515401,10900,414241.02,Sem Previsao,17,0
PB,Sobrado,2515971,7712,313026.32,Sem Previsao,11,0
PB,Solânea,2516003,26734,823494.82,Sem Previsao,28,0
PB,Sumé,2516300,16784,560687.23,Sem Previsao,26,0
PB,Teixeira,2516706,14974,629847.4,Sem Previsao,20,0
PB,Vieirópolis,2517209,5295,360130.03,Sem Previsao,16,0
PE,Altinho,2600807,22876,535504.77,Sem Previsao,13,0
PE,Bodocó,2602001,37317,485264.1,Concluida,14,410386.3
PE,Bom Conselho,2602100,47760,1055014.86,Sem Previsao,24,0
PE,Camutanga,2603603,8450,401410.82,Sem Previsao,14,0
PE,Cortês,2604809,12602,508256.37,Sem Previsao,24,0
PE,Dormentes,2605152,18321,481178.83,Sem Previsao,16,0
PE,Exu,2605301,31928,661855.41,Sem Previsao,22,0
PE,Granito,2606309,7308,456930.19,Sem Previsao,15,0
PE,Itambé,2607653,36278,910778.44,Sem Previsao,38,75213.5
PE,Lagoa Grande,2608750,24757,560139.77,Sem Previsao,21,0
PE,Machados,2609105,15313,584854.35,Sem Previsao,20,0
PE,Moreilândia,2614303,11242,591799.01,Sem Previsao,20,0
PE,Santa Cruz,2411205,38924,471426.07,Sem Previsao,15,0
PE,Tupanatinga,2615805,26454,562734.6,Sem Previsao,25,0
PE,Tuparetama,2615904,8149,409294.75,Sem Previsao,18,0
PE,Vicência,2616308,32157,413073.29,Sem Previsao,12,41107.5
PI,Canto do Buriti,2202307,20700,813893.1,Sem Previsao,22,0
PI,Coronel José Dias,2202851,4602,229836.98,Sem Previsao,7,0
PI,Curimatá,2203206,11121,738588.14,Sem Previsao,18,0
